0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:10 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:11 -0800] "GET /angular-jaxrs-demo/partials/home.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:15 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:15 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:18 -0800] "GET /angular-jaxrs-demo/partials/contact.html HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:24 -0800] "GET /angular-jaxrs-demo/partials/search.html HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:24 -0800] "GET /angular-jaxrs-demo/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:24 -0800] "GET /angular-jaxrs-demo/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:26 -0800] "GET /angular-jaxrs-demo/partials/login.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:29 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:35:29 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
